datetime,hs,direction,tz,tp,temperature,h_onethird,hmax,tav
2020-11-09 05:45:00+00,0.43,94,2.5,2.3,25.75,0.35,0.68,2.8
2020-11-09 06:15:00+00,0.43,89,2.5,2.3,25.75,0.35,0.56,2.6
2020-11-09 06:45:00+00,0.4,89,2.5,2.2,25.75,0.32,0.67,2.7
2020-11-09 07:15:00+00,0.38,93,2.5,2.1,25.75,0.3,0.59,2.7
2020-11-09 07:45:00+00,0.4,86,2.5,2.2,25.8,0.32,0.73,2.7
2020-11-09 08:15:00+00,0.41,87,2.6,2.2,25.8,0.34,0.54,2.8
2020-11-09 08:45:00+00,0.43,80,2.6,2.4,25.85,0.35,0.76,2.8
2020-11-09 09:15:00+00,0.46,83,2.7,2.6,25.85,0.38,0.63,2.8
2020-11-09 09:45:00+00,0.45,82,2.7,2.7,25.85,0.37,0.62,2.9
2020-11-09 10:15:00+00,0.4,298,2.7,6.2,25.85,0.33,0.62,2.9
2020-11-09 10:45:00+00,0.37,302,2.7,6.2,25.85,0.31,0.51,3
2020-11-09 11:15:00+00,0.37,298,2.8,6.2,25.9,0.3,0.49,3
2020-11-09 11:45:00+00,0.38,83,2.8,2.4,25.85,0.32,0.54,3
2020-11-09 12:15:00+00,0.36,333,2.9,5.6,25.9,0.3,0.54,3.2
2020-11-09 12:45:00+00,0.37,316,2.7,5.9,25.85,0.31,0.53,2.9
2020-11-09 13:15:00+00,0.37,328,3,5.6,25.9,0.31,0.55,3.3
2020-11-09 13:45:00+00,0.36,281,2.9,6.7,25.9,0.3,0.48,3.1
2020-11-09 14:15:00+00,0.35,271,2.9,8.3,25.85,0.31,0.5,3.3
2020-11-09 14:45:00+00,0.36,340,2.8,5,25.85,0.31,0.65,3.1
2020-11-09 15:15:00+00,0.41,333,2.8,5.9,25.85,0.33,0.64,2.9
2020-11-09 15:45:00+00,0.43,315,2.9,5.9,25.8,0.35,0.72,3
2020-11-09 16:15:00+00,0.47,69,2.9,2.6,25.8,0.39,0.67,3.1
2020-11-09 16:45:00+00,0.47,66,3.1,2.6,25.75,0.4,0.64,3.2
2020-11-09 17:15:00+00,0.45,335,3.1,5.6,25.75,0.39,0.73,3.3
2020-11-09 17:45:00+00,0.49,340,3.2,5,25.75,0.42,0.7,3.4
2020-11-09 18:15:00+00,0.52,340,3.4,5.3,25.75,0.47,0.93,3.7
2020-11-09 18:45:00+00,0.52,347,3.3,4.5,25.75,0.46,0.77,3.6
2020-11-09 19:15:00+00,0.51,342,3.1,4.8,25.7,0.44,0.89,3.4
2020-11-09 19:45:00+00,0.48,338,3,5,25.65,0.43,0.74,3.4
2020-11-09 20:15:00+00,0.46,345,3,4.5,25.65,0.4,0.71,3.4
2020-11-09 20:45:00+00,0.46,349,2.9,5,25.65,0.39,0.67,3.2
2020-11-09 21:15:00+00,0.45,87,2.7,2.1,25.65,0.36,0.62,3
2020-11-09 21:45:00+00,0.45,354,2.8,4.8,25.6,0.37,0.61,3
2020-11-09 22:15:00+00,0.43,343,2.7,5,25.65,0.36,0.63,3
2020-11-09 22:45:00+00,0.41,346,2.6,4.8,25.65,0.35,0.63,2.9
2020-11-09 23:15:00+00,0.43,91,2.6,2.1,25.55,0.36,0.69,2.8
2020-11-09 23:45:00+00,0.41,84,2.6,2.2,25.55,0.33,0.53,2.8
2020-11-10 00:15:00+00,0.39,90,2.6,2.1,25.55,0.32,0.54,2.9
2020-11-10 00:45:00+00,0.38,84,2.6,2.2,25.6,0.31,0.51,2.9
2020-11-10 01:15:00+00,0.39,319,2.7,5.3,25.5,0.32,0.58,2.9
2020-11-10 01:45:00+00,0.38,86,2.6,2.1,25.5,0.31,0.52,2.8
2020-11-10 02:15:00+00,0.37,87,2.7,2,25.5,0.3,0.55,2.8
2020-11-10 02:45:00+00,0.36,87,2.6,2.3,25.5,0.3,0.51,2.8
