datetime,hs,direction,tz,tp,temperature,h_onethird,hmax,tav
2021-07-28 06:15:00+00,0.79,284,3.7,7.1,30.35,0.7,1.14,4
2021-07-28 06:45:00+00,0.8,285,3.6,6.7,30.5,0.69,1.12,3.9
2021-07-28 07:15:00+00,0.77,288,3.5,7.1,30.45,0.69,1.24,3.9
2021-07-28 07:45:00+00,0.79,281,3.5,6.7,30.45,0.68,1.19,3.8
2021-07-28 08:15:00+00,0.79,285,3.6,6.2,30.3,0.71,1.18,3.8
2021-07-28 08:45:00+00,0.84,288,3.6,5,30.3,0.75,1.44,4
2021-07-28 09:15:00+00,0.89,284,3.9,6.7,30.5,0.8,1.38,4.1
2021-07-28 09:45:00+00,0.9,284,4,5.9,30.5,0.8,1.39,4.2
2021-07-28 10:15:00+00,0.88,285,4,4.8,30.7,0.8,1.27,4.2
2021-07-28 10:45:00+00,0.96,285,4.2,5.6,30.75,0.86,1.53,4.3
2021-07-28 11:15:00+00,0.93,288,4.2,5.6,30.7,0.85,1.52,4.2
2021-07-28 11:45:00+00,0.92,285,4.2,5.6,30.75,0.84,1.3,4.5
2021-07-28 12:15:00+00,0.95,285,4.3,5.6,30.75,0.84,1.5,4.4
2021-07-28 12:45:00+00,0.89,287,4.2,5.6,30.65,0.83,1.61,4.4
2021-07-28 13:15:00+00,0.93,291,4.3,5.9,30.5,0.83,1.49,4.4
2021-07-28 13:45:00+00,0.9,294,4.2,5.6,30.45,0.85,1.33,4.5
2021-07-28 14:15:00+00,0.88,285,4.1,5.6,30.5,0.82,1.31,4.3
2021-07-28 14:45:00+00,0.86,284,4,6.2,30.5,0.8,1.4,4.4
2021-07-28 15:15:00+00,0.84,287,4,5.6,30.4,0.74,1.48,4.2
2021-07-28 15:45:00+00,0.82,287,4.1,5.6,30.35,0.73,1.21,4.4
2021-07-28 16:15:00+00,0.84,281,4.1,5.6,30.25,0.75,1.33,4.4
2021-07-28 16:45:00+00,0.75,284,4.1,5.6,30.2,0.68,1.16,4.2
2021-07-28 17:15:00+00,0.8,280,4.3,5.9,30.2,0.73,1.17,4.4
2021-07-28 17:45:00+00,0.75,283,4.2,5.3,30.2,0.68,1.06,4.3
2021-07-28 18:15:00+00,0.73,285,4.2,5.3,30.2,0.65,1.05,4.3
2021-07-28 18:45:00+00,0.76,284,4.3,7.1,30.15,0.7,1.27,4.6
2021-07-28 19:15:00+00,0.73,274,4.3,5.6,29.9,0.67,1.05,4.4
2021-07-29 00:15:00+00,0.67,285,4.4,6.7,29.75,0.62,0.97,4.6
2021-07-29 00:45:00+00,0.69,280,4.4,6.2,29.75,0.62,1.03,4.6
2021-07-29 01:15:00+00,0.68,285,4.3,6.2,29.7,0.62,1.09,4.4
2021-07-29 01:45:00+00,0.67,283,4.3,5.9,29.75,0.63,0.96,4.5
2021-07-29 02:15:00+00,0.69,280,4.3,6.2,29.8,0.64,1.04,4.4
2021-07-29 02:45:00+00,0.68,283,4.1,5.9,29.8,0.61,0.97,4.2
2021-07-29 03:15:00+00,0.7,285,3.9,5.9,29.75,0.65,1.22,4
2021-07-29 03:45:00+00,0.66,276,3.5,5.9,29.7,0.59,0.9,3.9
2021-07-29 04:15:00+00,0.73,277,3.7,6.2,29.55,0.64,1.05,3.9
2021-07-29 04:45:00+00,0.68,284,3.4,6.2,29.5,0.6,1.24,3.7
2021-07-29 05:15:00+00,0.68,285,3.2,5.9,29.5,0.58,1.06,3.4
2021-07-29 05:45:00+00,0.68,287,3.3,6.2,29.5,0.6,1.06,3.4
2021-07-29 06:15:00+00,0.67,287,3.4,5.9,29.55,0.59,0.96,3.5
2021-07-29 06:45:00+00,0.72,305,3.4,5.6,29.55,0.64,1.29,3.6
2021-07-29 07:15:00+00,0.71,287,3.4,5.3,29.55,0.63,0.97,3.6
2021-07-29 07:45:00+00,0.74,280,3.3,5.6,29.6,0.65,1.09,3.6
2021-07-29 08:15:00+00,0.69,274,3.3,4.2,29.7,0.62,1.19,3.5
2021-07-29 08:45:00+00,0.71,284,3.2,4.8,29.8,0.62,1.15,3.5
2021-07-29 09:15:00+00,0.73,283,3.2,5,29.75,0.63,1.13,3.4
2021-07-29 09:45:00+00,0.76,278,3.2,5,29.8,0.66,1.28,3.4
2021-07-29 10:15:00+00,0.77,281,3.3,4.3,29.8,0.67,1.3,3.4
2021-07-29 10:45:00+00,0.72,278,3.3,4.3,29.85,0.64,1.26,3.5
2021-07-29 11:15:00+00,0.73,285,3.4,5.3,29.85,0.64,1.21,3.6
2021-07-29 11:45:00+00,0.8,288,3.5,5,29.9,0.72,1.15,3.8
2021-07-29 12:15:00+00,0.8,291,3.5,5,29.85,0.7,1.11,3.7
2021-07-29 12:45:00+00,0.76,284,3.5,5,29.85,0.68,1.3,3.6
2021-07-29 13:15:00+00,0.75,284,3.5,5,29.85,0.67,1.18,3.7
2021-07-29 13:45:00+00,0.76,290,3.5,5,29.85,0.66,1.17,3.6
2021-07-29 14:15:00+00,0.78,281,3.5,4.8,29.85,0.68,1.24,3.7
2021-07-29 14:45:00+00,0.75,274,3.5,6.2,29.85,0.66,1.02,3.7
2021-07-29 15:15:00+00,0.75,277,3.5,5.9,29.85,0.66,1.05,3.7
2021-07-29 15:45:00+00,0.75,280,3.5,4.8,29.85,0.66,1.22,3.7
2021-07-29 16:15:00+00,0.75,288,3.5,4.8,29.8,0.65,1.09,3.7
2021-07-29 16:45:00+00,0.76,276,3.7,5.3,29.8,0.68,1.06,3.8
2021-07-29 17:15:00+00,0.77,281,3.7,4.8,29.8,0.68,1.03,3.9
2021-07-29 17:45:00+00,0.75,284,3.7,4.8,29.8,0.67,1.15,3.9
2021-07-29 18:15:00+00,0.75,281,3.9,5,29.8,0.7,1.1,4.1
2021-07-29 18:45:00+00,0.74,294,3.8,4.8,29.75,0.66,1.16,4
2021-07-29 19:15:00+00,0.74,291,3.9,5,29.75,0.68,1.4,4.2
2021-07-30 00:15:00+00,0.7,288,3.7,5.9,29.85,0.63,1.11,4
2021-07-30 00:45:00+00,0.77,288,3.8,5.6,29.85,0.69,1.11,3.9
2021-07-30 01:15:00+00,0.76,290,3.6,5.6,29.85,0.69,1.1,3.9
2021-07-30 01:45:00+00,0.8,290,3.7,5.3,29.85,0.71,1.14,3.8
2021-07-30 02:15:00+00,0.8,288,3.8,5.3,29.85,0.73,1.34,4
2021-07-30 02:45:00+00,0.74,288,3.6,5.3,29.9,0.68,1.08,3.8
2021-07-30 03:15:00+00,0.77,288,3.6,5,29.9,0.69,1.1,3.8
2021-07-30 03:45:00+00,0.75,284,3.7,5,29.9,0.67,1.2,3.9
2021-07-30 04:15:00+00,0.8,287,3.7,5,29.9,0.72,1.2,3.9
2021-07-30 04:45:00+00,0.79,283,3.7,5.6,29.95,0.71,1.15,3.9
2021-07-30 05:15:00+00,0.77,284,3.6,5.3,30,0.71,1.09,4
2021-07-30 05:45:00+00,0.73,285,3.6,5.3,30.05,0.68,1.19,3.8
2021-07-30 06:15:00+00,0.76,284,3.5,5.3,30.05,0.68,1.24,3.8
2021-07-30 06:45:00+00,0.76,284,3.5,5,30.1,0.69,1.22,3.8
2021-07-30 07:15:00+00,0.77,288,3.5,5.6,30.1,0.67,1.32,3.7
2021-07-30 07:45:00+00,0.73,290,3.5,5.6,30.2,0.66,1.1,3.8
2021-07-30 08:15:00+00,0.74,287,3.4,5.3,30.25,0.65,1.1,3.6
2021-07-30 08:45:00+00,0.68,285,3.3,5.3,30.25,0.59,1.1,3.5
2021-07-30 09:15:00+00,0.72,281,3.4,5.6,30.25,0.63,1.19,3.5
2021-07-30 09:45:00+00,0.69,273,3.4,5.3,30.3,0.62,1.23,3.6
2021-07-30 10:15:00+00,0.7,281,3.2,5.3,30.25,0.61,1.01,3.4
2021-07-30 10:45:00+00,0.66,283,3.3,5.3,30.2,0.58,1,3.5
2021-07-30 11:15:00+00,0.69,271,3.3,5.9,30.25,0.6,0.96,3.6
2021-07-30 11:45:00+00,0.67,273,3.3,5.3,30.2,0.59,1.32,3.6
2021-07-30 12:15:00+00,0.69,271,3.5,5.3,30.25,0.61,1.03,3.7
2021-07-30 12:45:00+00,0.66,273,3.4,6.2,30.35,0.6,0.98,3.9
2021-07-30 13:15:00+00,0.68,273,3.5,5.3,30.35,0.59,1.01,3.8
2021-07-30 13:45:00+00,0.66,276,3.7,5.3,30.4,0.58,1.11,3.9
2021-07-30 14:15:00+00,0.65,274,3.8,6.2,30.4,0.57,0.92,3.9
2021-07-30 14:45:00+00,0.64,280,3.8,7.1,30.4,0.58,0.99,4.1
2021-07-30 15:15:00+00,0.67,278,4,6.2,30.4,0.61,1.02,4.2
2021-07-30 15:45:00+00,0.64,281,4,6.7,30.4,0.57,1.15,4.2
2021-07-30 16:15:00+00,0.62,274,3.9,5.9,30.4,0.56,0.88,4.3
2021-07-30 16:45:00+00,0.63,278,4.2,5.9,30.35,0.58,0.88,4.4
2021-07-30 17:15:00+00,0.65,284,4.2,6.7,30.3,0.6,1.04,4.5
2021-07-30 17:45:00+00,0.62,288,4.1,6.7,30.25,0.57,0.93,4.5
2021-07-30 18:15:00+00,0.65,284,4.3,5.9,30.25,0.59,1.02,4.5
2021-07-30 18:45:00+00,0.69,287,4.3,6.2,30.25,0.65,1.16,4.6
2021-07-30 19:15:00+00,0.68,285,4.4,5.9,30.25,0.6,1.19,4.7
2021-07-31 00:15:00+00,0.59,290,4,6.7,30.2,0.52,0.87,4.3
2021-07-31 00:45:00+00,0.61,284,3.8,6.7,30.2,0.55,0.88,4.1
2021-07-31 01:15:00+00,0.57,278,3.5,7.1,30.2,0.5,0.82,3.6
2021-07-31 01:45:00+00,0.57,285,3.5,6.2,30.2,0.51,0.87,3.7
2021-07-31 02:15:00+00,0.6,283,3.5,6.7,30.2,0.54,0.84,3.8
2021-07-31 02:45:00+00,0.57,283,3.5,7.1,30.2,0.52,0.88,3.7
2021-07-31 03:15:00+00,0.64,284,3.6,7.1,30.2,0.57,1.04,4
2021-07-31 03:45:00+00,0.63,284,3.6,6.7,30.25,0.55,0.89,3.9
2021-07-31 04:15:00+00,0.62,283,3.7,7.1,30.25,0.56,0.86,4
2021-07-31 04:45:00+00,0.64,283,3.6,7.1,30.25,0.55,0.86,3.8
2021-07-31 05:15:00+00,0.63,281,3.6,6.7,30.25,0.57,1.06,4
2021-07-31 05:45:00+00,0.62,283,3.6,7.1,30.3,0.54,0.91,3.8
2021-07-31 06:15:00+00,0.68,284,3.6,6.7,30.35,0.6,1.04,4
2021-07-31 06:45:00+00,0.62,281,3.5,7.1,30.35,0.53,0.91,3.6
2021-07-31 07:15:00+00,0.64,283,3.5,7.1,30.4,0.55,1.02,3.7
2021-07-31 07:45:00+00,0.68,280,3.5,6.7,30.55,0.58,0.92,3.8
2021-07-31 08:15:00+00,0.68,280,3.4,7.1,30.55,0.59,1.09,3.6
2021-07-31 08:45:00+00,0.67,276,3.4,6.7,30.55,0.59,1.06,3.7
2021-07-31 09:15:00+00,0.69,278,3.4,7.1,30.55,0.6,1.02,3.7
2021-07-31 09:45:00+00,0.73,280,3.5,6.2,30.6,0.64,1.17,3.7
2021-07-31 10:15:00+00,0.73,283,3.4,6.7,30.65,0.63,0.98,3.6
2021-07-31 10:45:00+00,0.71,280,3.5,7.1,30.7,0.62,1.14,3.6
2021-07-31 11:15:00+00,0.67,281,3.4,7.1,30.7,0.61,0.91,3.8
2021-07-31 11:45:00+00,0.67,273,3.3,6.7,30.65,0.6,1.03,3.6
2021-07-31 12:15:00+00,0.71,277,3.6,6.7,30.6,0.63,1.11,3.7
2021-07-31 12:45:00+00,0.71,276,3.5,6.7,30.55,0.64,0.98,3.7
2021-07-31 13:15:00+00,0.7,278,3.6,6.7,30.5,0.61,1.02,3.8
2021-07-31 13:45:00+00,0.69,276,3.5,6.7,30.35,0.6,0.96,3.7
2021-07-31 14:15:00+00,0.72,281,3.8,6.7,30.3,0.63,1.03,4
2021-07-31 14:45:00+00,0.74,277,3.8,6.7,30.25,0.65,1.04,4.2
2021-07-31 15:15:00+00,0.72,280,3.9,5.9,30.25,0.62,1.11,3.9
2021-07-31 15:45:00+00,0.74,277,3.9,6.7,30.2,0.67,1.45,4.1
2021-07-31 16:15:00+00,0.71,278,3.9,4,30.2,0.63,1.04,4.1
2021-07-31 16:45:00+00,0.72,280,4,6.7,30.25,0.64,1.08,4.1
2021-07-31 17:15:00+00,0.73,276,4.1,6.2,30.25,0.66,1.08,4.3
2021-07-31 17:45:00+00,0.72,283,4.2,6.7,30.25,0.66,1.12,4.4
2021-07-31 18:15:00+00,0.74,291,4.1,4.2,30.25,0.66,1.22,4.2
2021-07-31 18:45:00+00,0.7,278,4.1,6.7,30.25,0.63,0.96,4.2
2021-07-31 19:15:00+00,0.7,284,4.1,4.5,30.3,0.63,1.08,4.2
2021-08-01 00:15:00+00,0.4,284,3.6,4.3,30.3,0.35,0.58,3.8
2021-08-01 00:45:00+00,0.4,285,3.7,4.2,30.3,0.36,0.65,3.9
2021-08-01 01:15:00+00,0.38,283,3.7,6.2,30.3,0.34,0.65,3.9
2021-08-01 01:45:00+00,0.4,281,3.7,6.2,30.25,0.36,0.64,3.8
2021-08-01 02:15:00+00,0.38,280,3.6,4.3,30.25,0.34,0.62,3.7
2021-08-01 02:45:00+00,0.39,280,3.5,5.6,30.25,0.34,0.59,3.8
2021-08-01 03:15:00+00,0.41,278,3.5,6.2,30.25,0.36,0.63,3.6
2021-08-01 03:45:00+00,0.4,285,3.5,6.2,30.2,0.36,0.59,3.5
2021-08-01 04:15:00+00,0.43,284,3.3,6.2,30.25,0.37,0.6,3.6
2021-08-01 04:45:00+00,0.44,284,3.1,5.9,30.25,0.38,0.67,3.4
2021-08-01 05:15:00+00,0.46,285,3.1,5.9,30.25,0.39,0.71,3.2
2021-08-01 05:45:00+00,0.46,285,3,6.2,30.25,0.4,0.64,3.3
2021-08-01 06:15:00+00,0.44,283,3,5.9,30.3,0.38,0.74,3.2
2021-08-01 06:45:00+00,0.46,285,3,5.9,30.35,0.39,0.62,3.3
2021-08-01 07:15:00+00,0.48,285,2.9,6.2,30.35,0.4,0.67,3.1
2021-08-01 07:45:00+00,0.44,278,2.9,5.3,30.4,0.39,0.81,3.1
2021-08-01 08:15:00+00,0.48,274,2.9,5.3,30.45,0.39,0.7,3
2021-08-01 08:45:00+00,0.46,274,2.8,5.6,30.45,0.39,0.76,3
2021-08-01 09:15:00+00,0.46,280,2.9,5.3,30.5,0.4,0.78,3.1
2021-08-01 09:45:00+00,0.48,284,2.8,4,30.5,0.39,0.64,2.9
2021-08-01 10:15:00+00,0.44,253,2.7,2.4,30.6,0.38,0.77,3
2021-08-01 10:45:00+00,0.47,281,2.9,5.6,30.65,0.4,0.69,3
2021-08-01 11:15:00+00,0.44,280,2.9,5.6,30.65,0.38,0.78,3
2021-08-01 11:45:00+00,0.44,280,2.8,4.2,30.65,0.38,0.78,3
2021-08-01 12:15:00+00,0.47,277,2.9,5.9,30.65,0.39,0.7,3
2021-08-01 12:45:00+00,0.44,285,3,5.3,30.65,0.38,0.7,3.2
2021-08-01 13:15:00+00,0.45,277,2.9,4.2,30.65,0.38,0.66,3.1
2021-08-01 13:45:00+00,0.47,281,3.2,4.2,30.6,0.4,0.75,3.4
2021-08-01 14:15:00+00,0.43,281,3.1,5.6,30.6,0.37,0.66,3.3
2021-08-01 14:45:00+00,0.45,273,3.1,4.5,30.6,0.38,0.63,3.4
2021-08-01 15:15:00+00,0.44,283,3.2,6.2,30.6,0.39,0.63,3.4
2021-08-01 15:45:00+00,0.47,284,3.3,5.9,30.6,0.41,0.7,3.5
2021-08-01 16:15:00+00,0.46,284,3.4,5.6,30.6,0.4,0.68,3.6
2021-08-01 16:45:00+00,0.46,290,3.5,6.2,30.55,0.4,0.68,3.7
2021-08-01 17:15:00+00,0.45,284,3.5,6.2,30.55,0.4,0.73,3.8
2021-08-01 17:45:00+00,0.45,285,3.5,6.2,30.6,0.4,0.69,3.8
2021-08-01 18:15:00+00,0.46,283,3.7,6.2,30.6,0.41,0.68,3.9
2021-08-01 18:45:00+00,0.45,287,3.6,6.7,30.6,0.39,0.72,3.7
2021-08-01 19:15:00+00,0.45,288,3.7,5.9,30.6,0.4,0.68,3.8
2021-08-01 19:45:00+00,0.42,285,3.6,6.2,30.6,0.37,0.58,3.8
2021-08-01 20:15:00+00,0.44,283,3.8,6.7,30.55,0.39,0.76,4.1
2021-08-01 20:45:00+00,0.43,284,3.7,6.2,30.6,0.38,0.67,3.9
2021-08-01 21:15:00+00,0.41,280,3.5,5.9,30.55,0.37,0.62,3.7
2021-08-01 21:45:00+00,0.41,280,3.5,6.2,30.55,0.37,0.61,3.6
2021-08-01 22:15:00+00,0.39,284,3.4,6.2,30.55,0.34,0.64,3.5
2021-08-01 22:45:00+00,0.39,283,3.2,5.9,30.55,0.35,0.54,3.5
2021-08-01 23:15:00+00,0.4,278,3,5.9,30.5,0.35,0.64,3.3
2021-08-01 23:45:00+00,0.4,280,3,5.9,30.55,0.35,0.6,3.3
2021-08-02 00:15:00+00,0.39,281,3,5.9,30.5,0.33,0.58,3.2
2021-08-02 00:45:00+00,0.38,285,3.1,6.2,30.5,0.33,0.61,3.5
2021-08-02 01:15:00+00,0.38,281,3,6.2,30.5,0.33,0.55,3.3
2021-08-02 01:45:00+00,0.4,288,3,5.9,30.45,0.34,0.54,3.2
2021-08-02 02:15:00+00,0.4,284,2.8,5.6,30.45,0.33,0.53,2.9
2021-08-02 02:45:00+00,0.39,273,2.7,3.9,30.5,0.34,0.62,2.9
2021-08-02 03:15:00+00,0.41,284,2.8,5.9,30.45,0.34,0.62,3
2021-08-02 03:45:00+00,0.42,288,2.8,5.9,30.45,0.35,0.72,3
2021-08-02 04:15:00+00,0.39,290,2.7,5.3,30.45,0.33,0.67,2.9
2021-08-02 04:45:00+00,0.37,284,2.7,5.9,30.45,0.32,0.52,2.9
2021-08-02 05:15:00+00,0.41,288,2.7,5.6,30.45,0.33,0.51,2.8
2021-08-02 05:45:00+00,0.45,284,2.7,5.6,30.45,0.38,0.64,2.9
2021-08-02 06:15:00+00,0.44,292,2.7,5.6,30.45,0.37,0.58,2.8
2021-08-02 06:45:00+00,0.45,201,2.7,2.2,30.5,0.38,0.71,2.8
2021-08-02 07:15:00+00,0.45,219,2.7,2.4,30.55,0.37,0.6,2.8
2021-08-02 07:45:00+00,0.48,231,2.7,2.6,30.55,0.4,0.74,2.9
2021-08-02 08:15:00+00,0.48,260,2.7,3.2,30.6,0.4,0.86,2.8
2021-08-02 08:45:00+00,0.49,249,2.8,2.9,30.6,0.41,0.66,2.9
2021-08-02 09:15:00+00,0.52,232,2.8,2.7,30.6,0.44,0.75,3
2021-08-02 09:45:00+00,0.53,224,2.7,2.7,30.65,0.44,0.71,2.8
2021-08-02 10:15:00+00,0.5,236,2.8,2.8,30.65,0.42,0.78,2.9
2021-08-02 10:45:00+00,0.51,240,2.8,2.9,30.65,0.43,0.81,3
2021-08-02 11:15:00+00,0.51,252,2.8,2.7,30.7,0.43,0.73,2.9
2021-08-02 11:45:00+00,0.52,276,2.9,7.7,30.7,0.44,0.91,3.1
2021-08-02 12:15:00+00,0.52,273,3,7.1,30.7,0.46,0.72,3.2
2021-08-02 12:45:00+00,0.51,243,2.9,2.7,30.65,0.44,0.94,3.1
2021-08-02 13:15:00+00,0.51,271,3.1,7.1,30.65,0.44,0.83,3.3
2021-08-02 13:45:00+00,0.53,266,3.2,7.1,30.6,0.45,0.83,3.4
2021-08-02 14:15:00+00,0.52,267,3.2,7.1,30.6,0.44,0.73,3.3
2021-08-02 14:45:00+00,0.51,267,3.4,6.7,30.65,0.44,0.71,3.6
2021-08-02 15:15:00+00,0.5,269,3.3,7.1,30.65,0.43,0.75,3.5
2021-08-02 15:45:00+00,0.52,267,3.5,7.1,30.6,0.46,0.92,3.6
2021-08-02 16:15:00+00,0.53,267,3.5,3.3,30.6,0.46,0.69,3.8
2021-08-02 16:45:00+00,0.51,277,3.6,6.7,30.65,0.45,0.75,3.8
2021-08-02 17:15:00+00,0.48,277,3.6,6.2,30.65,0.41,0.65,3.7
2021-08-02 17:45:00+00,0.48,277,3.5,5.9,30.7,0.43,0.73,3.7
2021-08-02 18:15:00+00,0.49,281,3.6,5.9,30.65,0.43,0.69,3.9
2021-08-02 18:45:00+00,0.46,264,3.6,3.7,30.7,0.4,0.63,3.9
2021-08-02 19:15:00+00,0.47,273,3.9,7.1,30.65,0.41,0.76,4
2021-08-02 19:45:00+00,0.43,285,3.7,6.2,30.65,0.39,0.71,3.9
2021-08-02 20:15:00+00,0.44,281,3.8,6.2,30.65,0.39,0.68,3.9
2021-08-02 20:45:00+00,0.43,269,3.8,7.7,30.6,0.38,0.6,3.8
2021-08-02 21:15:00+00,0.42,270,3.8,7.7,30.65,0.38,0.66,4
2021-08-02 21:45:00+00,0.41,270,3.9,7.7,30.65,0.36,0.6,4
2021-08-02 22:15:00+00,0.43,270,4,7.1,30.6,0.39,0.65,4.1
2021-08-02 22:45:00+00,0.42,273,3.9,7.7,30.6,0.38,0.63,4.1
2021-08-02 23:15:00+00,0.41,273,3.9,6.7,30.6,0.36,0.79,4.1
2021-08-02 23:45:00+00,0.39,274,3.8,7.1,30.6,0.34,0.51,4.1
2021-08-03 00:15:00+00,0.39,285,3.8,5.6,30.6,0.35,0.58,4
2021-08-03 00:45:00+00,0.4,278,3.9,6.2,30.55,0.35,0.6,4.1
2021-08-03 01:15:00+00,0.39,276,3.9,6.2,30.55,0.35,0.61,4.1
2021-08-03 01:45:00+00,0.39,280,4,5.9,30.55,0.35,0.58,4.1
2021-08-03 02:15:00+00,0.39,283,3.8,4,30.5,0.34,0.55,4
2021-08-03 02:45:00+00,0.41,280,3.8,6.2,30.5,0.36,0.63,3.9
2021-08-03 03:15:00+00,0.39,273,3.7,7.1,30.5,0.34,0.62,3.8
2021-08-03 03:45:00+00,0.4,277,3.6,6.7,30.5,0.35,0.72,3.8
2021-08-03 04:15:00+00,0.41,277,3.6,6.7,30.5,0.36,0.67,3.9
2021-08-03 04:45:00+00,0.41,274,3.2,6.7,30.5,0.36,0.62,3.5
2021-08-03 05:15:00+00,0.46,283,3.3,7.1,30.5,0.4,0.67,3.6
2021-08-03 05:45:00+00,0.49,280,3.2,7.1,30.5,0.42,0.71,3.6
2021-08-03 06:15:00+00,0.5,276,3.3,6.7,30.55,0.42,0.75,3.5
2021-08-03 06:45:00+00,0.48,276,3.1,6.7,30.55,0.42,0.74,3.4
2021-08-03 07:15:00+00,0.55,276,3.3,6.7,30.55,0.48,0.81,3.6
2021-08-03 07:45:00+00,0.58,280,3.3,6.7,30.6,0.52,0.92,3.6
2021-08-03 08:15:00+00,0.59,274,3.5,6.7,30.65,0.5,0.82,3.7
2021-08-03 08:45:00+00,0.59,276,3.5,6.7,30.7,0.53,0.87,4
2021-08-03 09:15:00+00,0.63,273,3.9,6.2,30.7,0.56,0.94,4.2
2021-08-03 09:45:00+00,0.62,274,3.8,6.2,30.7,0.56,0.94,4.2
2021-08-03 10:15:00+00,0.6,269,4,6.2,30.75,0.57,1.13,4.2
2021-08-03 10:45:00+00,0.58,271,3.9,6.2,30.85,0.52,0.88,4.1
2021-08-03 11:15:00+00,0.57,278,3.9,6.2,31,0.51,0.86,4.1
2021-08-03 11:45:00+00,0.54,278,3.9,6.2,31.15,0.48,0.84,4.2
2021-08-03 12:15:00+00,0.59,276,3.8,6.7,31.2,0.53,0.87,4
2021-08-03 12:45:00+00,0.61,274,3.9,6.7,31.25,0.55,0.95,4.1
2021-08-03 13:15:00+00,0.54,274,4.1,6.7,31.25,0.5,0.72,4.5
2021-08-03 13:45:00+00,0.58,277,4,6.7,31.15,0.52,0.77,4.3
2021-08-03 14:15:00+00,0.53,271,4.2,6.7,31.05,0.49,0.9,4.5
2021-08-03 14:45:00+00,0.51,274,4.1,6.2,31.05,0.47,0.72,4.6
2021-08-03 15:15:00+00,0.55,278,4.1,6.2,31,0.49,0.78,4.3
2021-08-03 15:45:00+00,0.52,271,4.2,6.2,30.95,0.48,0.74,4.5
2021-08-03 16:15:00+00,0.54,276,4.3,6.2,30.9,0.49,0.98,4.5
2021-08-03 16:45:00+00,0.58,274,4.4,6.7,30.8,0.52,0.93,4.6
2021-08-03 17:15:00+00,0.55,277,4.3,6.7,30.8,0.51,0.82,4.7
2021-08-03 17:45:00+00,0.57,274,4.4,6.7,30.75,0.53,1,4.6
2021-08-03 18:15:00+00,0.53,280,4.4,6.2,30.75,0.49,0.77,4.6
2021-08-03 18:45:00+00,0.54,280,4.3,6.2,30.75,0.5,0.76,4.7
2021-08-03 19:15:00+00,0.46,280,4.2,6.2,30.75,0.43,0.76,4.3
2021-08-03 19:45:00+00,0.51,281,4.4,6.2,30.75,0.47,0.75,4.6
2021-08-03 20:15:00+00,0.53,281,4.5,6.7,30.75,0.48,0.82,4.5
2021-08-03 20:45:00+00,0.47,278,4.3,6.7,30.75,0.42,0.69,4.5
2021-08-03 21:15:00+00,0.48,283,4.4,6.7,30.75,0.44,0.78,4.6
2021-08-03 21:45:00+00,0.44,281,4.3,6.7,30.75,0.42,0.69,4.5
2021-08-03 22:15:00+00,0.47,287,4.4,6.2,30.75,0.43,0.7,4.7
2021-08-03 22:45:00+00,0.44,281,4.3,6.2,30.75,0.4,0.71,4.6
2021-08-03 23:15:00+00,0.48,283,4.6,6.2,30.75,0.43,0.72,4.8
2021-08-03 23:45:00+00,0.46,283,4.4,6.2,30.75,0.42,0.9,4.6
2021-08-04 00:15:00+00,0.47,287,4.4,6.2,30.75,0.42,0.71,4.5
2021-08-04 00:45:00+00,0.46,277,4.4,5.9,30.75,0.42,0.69,4.5
2021-08-04 01:15:00+00,0.47,278,4.5,6.2,30.75,0.45,0.73,4.7
2021-08-04 01:45:00+00,0.45,288,4.5,5.9,30.75,0.41,0.71,4.6
2021-08-04 02:15:00+00,0.47,283,4.5,5.9,30.8,0.43,0.73,4.6
2021-08-04 02:45:00+00,0.44,283,4.4,5.6,30.8,0.41,0.71,4.6
2021-08-04 03:15:00+00,0.45,277,4.4,5.6,30.8,0.41,0.78,4.5
2021-08-04 03:45:00+00,0.44,281,4.3,6.2,30.75,0.39,0.62,4.5
2021-08-04 04:15:00+00,0.48,285,4.5,5.6,30.8,0.44,0.69,4.7
2021-08-04 04:45:00+00,0.49,278,4.5,5.9,30.8,0.45,0.87,4.7
2021-08-04 05:15:00+00,0.49,283,4.5,5.9,30.8,0.44,0.66,4.8
2021-08-04 05:45:00+00,0.47,277,4.3,5.9,30.85,0.43,0.69,4.5
2021-08-04 06:15:00+00,0.47,278,4.1,5.9,30.9,0.44,0.8,4.3
2021-08-04 06:45:00+00,0.46,281,3.8,5.6,30.95,0.41,0.67,3.9
2021-08-04 07:15:00+00,0.43,281,3.4,5.9,30.95,0.39,0.69,3.7
2021-08-04 07:45:00+00,0.49,278,3.3,5.9,31,0.42,0.79,3.6
2021-08-04 08:15:00+00,0.48,280,3.2,5.9,31.05,0.41,0.73,3.3
2021-08-04 08:45:00+00,0.47,277,3,5.6,31.1,0.41,0.63,3.4
2021-08-04 09:15:00+00,0.45,270,3,5.6,31.15,0.39,0.65,3.2
2021-08-04 09:45:00+00,0.45,280,3,5.9,31.25,0.38,0.59,3.2
2021-08-04 10:15:00+00,0.45,271,3.1,5.9,31.3,0.39,0.69,3.3
2021-08-04 10:45:00+00,0.49,274,3.2,5.9,31.35,0.43,0.83,3.5
2021-08-04 11:15:00+00,0.48,274,3,6.2,31.3,0.4,0.63,3.2
2021-08-04 11:45:00+00,0.52,270,3.1,5.9,31.2,0.45,0.94,3.5
2021-08-04 12:15:00+00,0.49,271,3.2,5.6,31.05,0.42,0.72,3.6
